course_code,course_name,units,year,description,requirements,faculty,outcomes,corequisites,exclusions,recommended,department_name,department_code,instructor,keywords,prereq_codes
HIST 443,The Origins of Crusading and the Creation of the Crusader East: 1095-1150,3.0,4.0,"An exploration of key topics in the history and interpretation of the early Crusades, the society and culture of the Frankish principalities in the Levant, and the impact of their creation on the peoples of the eastern Mediterranean, Muslim and Christian.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 430/6.0.,Faculty of Arts and Science,,,"[""HIST 430/6.0""]",,History,HIST,,"[""Crusades"", ""Frankish principalities"", ""Levant"", ""eastern Mediterranean"", ""Muslim"", ""Christian""]",
HIST 444,Crusade History,3.0,4.0,"This course will explore the crusades' place in the history of the medieval world and consider the long and contentious history of the crusades and their meaning in the world today. Themes include travel, trade, gender and sexuality, warfare, art and architecture, and inter-religious interaction and conflict.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 430/6.0.,Faculty of Arts and Science,,,"[""HIST 430/6.0""]",,History,HIST,,"[""Crusades"", ""medieval world"", ""travel"", ""trade"", ""gender"", ""sexuality"", ""warfare"", ""art"", ""architecture"", ""inter-religious interaction"", ""conflict""]",
HIST 446,"Gender, Sexuality, and Race in South Asia",3.0,4.0,"This course explores sex, gender, man, woman, as products of particular cultural and scientific contexts, drawing on South Asian material. Themes include sexuality in Hindu mythology, colonial masculinity, sex and the body in Gandhi's thought, the gendered underpinnings of imperial ideologies, transnational feminism and its post-colonial critics, and the expression of queer identities in South Asia.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""sex"", ""gender"", ""South Asia"", ""Hindu mythology"", ""colonial masculinity"", ""Gandhi"", ""imperial ideologies"", ""transnational feminism"", ""queer identities""]",
HIST 447,Sex and the History of Medicine,3.0,4.0,"An introduction to discussions of sex and gender in the history of medicine. Main themes include: the impact of cultural and social relations on the production of scientific and medical knowledge on sex and gender, and the impact of science and medicine in the creation of social categories.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,: collecting and interpreting primary documents; assessing the work of other historians; and formulating your own thesis on a historical problem.,,[],,History,HIST,,"[""sex"", ""gender"", ""history of medicine"", ""scientific knowledge"", ""social categories""]",
HIST 448,"Thinking Inside the Box: Archives, Politics, and the Past",3.0,4.0,"A seminar exploring the history and politics of archives. State, community-based, and digital archives will be discussed. With an emphasis on experiential learning, students will visit and conduct research in archival settings. They will learn to communicate their research in academic papers and public history venues (exhibits, posters, websites).",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 400 (Topic Title: Archives and Historians - Fall 2019).,Faculty of Arts and Science,,,"[""HIST 400""]",,History,HIST,,"[""archives"", ""state archives"", ""community-based archives"", ""digital archives"", ""experiential learning"", ""public history""]",
HIST 449,Medieval Mediterranean History,3.0,4.0,"Thematic topics in the history of the societies and religious cultures of the Mediterranean region during the medieval era. These can include comparative and cross-cultural studies of enslavement, piracy, war, persecution of minorities, state formation, imperial rule, and cultural exchange across the Latin West, Byzantium, and Islamic World.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""Mediterranean"", ""medieval era"", ""enslavement"", ""piracy"", ""war"", ""persecution of minorities"", ""state formation"", ""imperial rule"", ""cultural exchange"", ""Latin West"", ""Byzantium"", ""Islamic World""]",
HIST 451,The Experience of War in 20th Century Europe,6.0,4.0,"An examination of transformations in the conception, practice and experience of war in 20th century Europe with a focus on the two World Wars. Topics include international law, gender and the home-front, trench warfare, popular violence and genocide, collaboration and resistance, and memory. Students will read primary sources such as diaries, letters and novels as well as scholarly literature.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""20th century Europe"", ""World Wars"", ""international law"", ""gender"", ""home-front"", ""trench warfare"", ""popular violence"", ""genocide"", ""collaboration"", ""resistance"", ""memory""]",
HIST 452,African Decolonization and In-Dependence,3.0,4.0,"This course examines contemporary African political and economic history from the euphoric days of independence through the tumultuous decades of famines and pandemics to 'Africa rising' and the 'war on terror'. Topics include European late colonial rule, ascent to independence, structural readjustment programs.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 400 (Topic Title: Africa's Decolonization and Independence - Winter 2016).,Faculty of Arts and Science,,,"[""HIST 400""]",,History,HIST,,"[""African political history"", ""African economic history"", ""independence"", ""famines"", ""pandemics"", ""Africa rising"", ""war on terror"", ""European late colonial rule"", ""structural readjustment programs""]",
HIST 454,Thinking While Black: Black Intellectual History,3.0,4.0,"This course uses a range of media (including photographs, video, music, film, and literature) to explore Black intellectual history in Africa, North America, the Caribbean, and Europe since the early nineteenth century.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 402/3.0 (Topic Title: Thinking While Black: Black Intellectual History - Fall 2023).,Faculty of Arts and Science,,,"[""HIST 402/3.0""]",,History,HIST,,"[""Black intellectual history"", ""Africa"", ""North America"", ""Caribbean"", ""Europe""]",
HIST 455,"The Spanish Inquisition, 1450-1800: Sexuality, Sin, and Spiritual Beliefs",6.0,4.0,"This course considers the Spanish Inquisition and Extirpation of Idolatries campaign Spain and Latin America between 1492 and 1700. We examine how Catholic orthodoxy and heresy, faith, sexuality, healing practices, witchcraft and mysticism served as cultural unifiers and as markers of gender and ethnic differences.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""Spanish Inquisition"", ""Latin America"", ""Catholic orthodoxy"", ""witchcraft"", ""mysticism""]",
HIST 456,Islam and Muslims in World History,3.0,4.0,"Thematic approach to the history of the Muslim world in a cross-cultural, trans-regional, and global perspective. Topics vary, and may include but are not limited to religion and state, gender, nomadism, migration and refugees, commodities and resources, war, diaspora.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""Muslim world"", ""cross-cultural"", ""trans-regional"", ""global perspective"", ""gender""]",
HIST 458,The Social History of Modern Canada,6.0,4.0,"Studies in Canadian society in its pre-industrial, industrial and post-industrial aspects, 1900-1975. Topics in labour, immigration, childhood, family, urban and rural history, with emphasis upon both the cultural and technological contexts of social change. Readings from the traditional and 'new' social history literature's. The discussion is national in scope with focus upon distinctive regional developments.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion Maximum of one course from: HIST 458; HIST 485. Exclusion Maximum of one course from: HIST 458; HIST 486.,Faculty of Arts and Science,,,[],,History,HIST,,"[""Canadian society"", ""pre-industrial"", ""industrial"", ""post-industrial"", ""social history""]",
HIST 459,"British Culture and Society, 1780-1914",6.0,4.0,"An exploration of approaches to 'community' and 'society' in British thought and culture from the late 18th to the early 20th century. Topics include industrialization, political rights, imperial expansion, colonization, and emigration, which transformed the landscape in which Britishness was articulated, contested, and transformed.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""British thought"", ""industrialization"", ""political rights"", ""imperial expansion"", ""colonization""]",
HIST 460,"The British and India, 1765-1947",6.0,4.0,An introduction to the study of British rule in India. This course examines the impact of the colonial governance of India on Britain from the mid-eighteenth century to Independence.,Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""British rule"", ""India"", ""colonial governance"", ""Independence""]",
HIST 461,Race and Ethnicity in Latin America,3.0,4.0,"Examines the construction of racial and ethnic difference and the history of race relations in Latin America from European contact to the present, with emphasis on Indigenous, Africa-descended, and mixed-race peoples in the 19th and 20th centuries.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,David Parker,"[""racial difference"", ""ethnic difference"", ""Latin America"", ""Indigenous"", ""Africa-descended""]",
HIST 462,Social History of Modernizing Latin America 1860 to 1960,3.0,4.0,"The history of everyday life in Latin America from 1860 to 1960, a century of global economic and cultural change. Themes include urbanization, the ""social question"", state and class formation, gender roles, crime, science and technology.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""everyday life"", ""Latin America"", ""urbanization"", ""social question"", ""gender roles""]",
HIST 463,"Liberalism, Authoritarianism, and Citizenship in Latin America",3.0,4.0,"Key debates in the political history of Latin America from Independence (1820s) to the recent past. Themes include the tension between liberalism and authoritarianism; struggles for civil, political, and human rights; populism and charismatic leaders; revolutionary and reactionary ideologies.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,": 19th Century liberalism and conservatism; early 20th Century reformism, corporatism and populism; and mid to late 20th Century developmentalism, revolution, and militarism.",,[],,History,HIST,,"[""political history"", ""Latin America"", ""liberalism"", ""authoritarianism"", ""human rights""]",
HIST 464,Sexuality: A Global History,6.0,4.0,"This is an advanced seminar on the history of sexuality in comparative context. It explores recent work that globalizes the field to include South Asia, the Sinosphere, Africa, and Latin America. It introduces current historiographical debates and theoretical approaches, with an emphasis on sexuality, colonialism, and imperialism.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""history of sexuality"", ""South Asia"", ""Sinosphere"", ""Africa"", ""Latin America""]",
HIST 466,"Radicalism, Revolution, and Religion in Russian History and Literature",3.0,4.0,"In nineteenth-century Russia, religion, politics, and literature were inextricably intertwined. This course will look at how Turgenev, Dostoyevsky, and other Russian writers grappled with religious questions, revolutionary activism, and the role of the writer in society. In turn, the course will examine how this literature influenced wider society.","Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 400 (Topic Title: Russia: Radicalism Religion - Winter 2013, Winter 2014, Winter 2015, Winter 2016, Fall 2017, Fall 2018).",Faculty of Arts and Science,,,"[""HIST 400""]",,History,HIST,,"[""Russia"", ""religion"", ""literature"", ""Turgenev"", ""Dostoyevsky""]",
HIST 467,First Nations of North America,3.0,4.0,"An examination of First Nations history from ancient times to the present in North America with a particular focus on the Canadian experience. Topics include culture theory, disease, trade, missionaries, the writing of native history, and contemporary events.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,": This involves demonstrating an understanding of historical significance, causality, and context.",,[],,History,HIST,,"[""First Nations"", ""Canada"", ""culture theory"", ""missionaries"", ""native history""]",
HIST 468,Topics in Modern European Intellectual and Cultural History,6.0,4.0,"An in-depth examination of intellectual and cultural changes in continental Europe, 1750 to the present, organized around such themes as changing views of selfhood, rationality, emotions, irrationality, and technology. Movements that might be examined include the late Enlightenment, Romanticism, realism, and modernism.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""Europe"", ""Enlightenment"", ""Romanticism"", ""modernism"", ""rationality""]",
HIST 471,Power and Knowledge: Foucault for Historians,3.0,4.0,"A seminar exploring the influence of Michel Foucault on the study of history, including the fields of madness and medicine, prison and punishment, sexuality and the self. The course also examines how historians have employed and critiqued Foucault's concepts in their own work, particularly in the areas of gender, race, and colonialism.","Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 400 (Topic Title: Foucault for Historians - Fall 2013, Fall 2014, Winter 2016, Winter 2019, Winter 2020).",Faculty of Arts and Science,,,"[""HIST 400""]",,History,HIST,,"[""Foucault"", ""madness"", ""medicine"", ""prison"", ""sexuality""]",
HIST 472,The Harlem Renaissance,3.0,4.0,"This upper-year seminar in U.S. history explores the interwar years with a focus on the Harlem Renaissance. Students read scholarly works on the movement and engage with creative texts from the period. A diverse range of African American voices, perspectives, and expressions are studied to foreground the intersectional dimensions of this movement.","Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 400 (Topic Title: The Harlem Renaissance - Winter 2022); HIST 402 (Topic Title: The Harlem Renaissance - Winter 2023, Winter 2024).",Faculty of Arts and Science,,,"[""HIST 400"", ""HIST 402""]",,History,HIST,,"[""Harlem Renaissance"", ""U.S. history"", ""African American"", ""interwar"", ""intersectionality""]",
HIST 473,Black Women in U.S. History,3.0,4.0,"This upper-year seminar explores the history of black women in the United States from the late nineteenth century to the contemporary era. It situates the history of black women within the broader contexts of U.S. politics, culture and society, while recognizing the ways that this history is distinguishable within it.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""black women"", ""U.S. history"", ""politics"", ""culture"", ""society""]",
HIST 474,History of Gender and Technology,3.0,4.0,"Exploration of the historical connection between gender and technology; how gender has influenced the design, production, and consumption of technology, as well as the ways in which medical technologies have altered ideas about sex and gender. Topics include domestic design, cyborg feminism, reproductive technologies, and women in computing.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""gender"", ""technology"", ""medical technologies"", ""cyborg feminism"", ""reproductive technologies""]",
HIST 475,The Human Dimension of War,3.0,4.0,"An exploration of the human dimension of war in a Canadian context. Topics to be studied, from a Canadian perspective, include military culture, combat stress, leadership, gender and sexuality in the military, and mutinies. The course will also offer students the opportunity to engage in original research in the field.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""war"", ""Canada"", ""military culture"", ""combat stress"", ""gender""]",
HIST 476,Canada at War,3.0,4.0,"An exploration of war in a Canadian context, with an emphasis on how war has shaped Canadian society and the relationship between Canada and its armed forces. Topics to be studied, from a Canadian perspective, include the nature of war, the new military history, the military identity of an unmilitary people, and the military as a profession.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""war"", ""Canada"", ""military history"", ""society"", ""armed forces""]",
HIST 477,Animals and History,3.0,4.0,"Recent Research on the role of animals in history have eroded the barriers between human and natural sciences. By reexamining the part played by animals not merely as beasts of burden, or resources, or even as companions, but as agents in historical processes, this course poses a critique of human exceptionalism and the meaning of agency.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""animals"", ""history"", ""agency"", ""human exceptionalism"", ""natural sciences""]",
HIST 478,Nations and Nationalism in Global History,3.0,4.0,"This seminar provides an in-depth introduction to the history of the nation-form: narratives of its global origins, its historical development and global dispersal in Europe, Asia, Africa, and the Americas, the simultaneous emergence of anticolonialism and ultra-nationalism, its eclipse, and subsequent resurgence and revival in the post 9/11 world.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 390 (Topic Title: Nations and Nationalism - 2018/19).,Faculty of Arts and Science,,,"[""HIST 390""]",,History,HIST,,"[""nation-form"", ""global origins"", ""anticolonialism"", ""ultra-nationalism"", ""post 9/11""]",
HIST 481,History vs Pseudohistory,3.0,4.0,"Students explore the prevalence of pseudohistory in Canadian popular media and apply critical tools to identify these modern myths. From ancient aliens to destroyed civilizations, why does history inspire theories about lost civilizations, dark conspiracies, apocalyptic predictions or mysterious technologies? How do we tell the truth from the bunk?",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 401 (Topic Title: History vs. Pseudo-history - Fall 2014).,Faculty of Arts and Science,,,"[""HIST 401""]",,History,HIST,,"[""pseudohistory"", ""Canadian media"", ""lost civilizations"", ""conspiracies"", ""critical tools""]",
HIST 482,Machiavelli's World and the Italian Renaissance,3.0,4.0,"The Italian Renaissance focusing on Machiavelli's time, his contemporaries, and recent scholarship. Topics include political power and morality; conspiracies, rebellions, religious extremism, and the Medici family in Florence; magic, witchcraft, and Classical Antiquity; gender, sexuality, powerful women; and war in theory and the practice.",Prerequisite (Registration in a HIST Major or Joint Honours Plan) and a (minimum grade of C+ in 6.0 units from HIST 300-330). Exclusion HIST 400/4.5 (Topic Title: Machiavelli's World and the Italian Renaissance - Fall 2022).,Faculty of Arts and Science,,,"[""HIST 400/4.5""]",,History,HIST,,"[""Italian Renaissance"", ""Machiavelli"", ""political power"", ""Medici family"", ""witchcraft""]",
HIST 484,"Topics Irish History, 1798 to the Present",3.0,4.0,"An exploration of topics in the social, cultural, political, and economic history of Ireland from the Rising of 1798 onwards. Particular attention will be paid to the relationship between religion and social/political structures.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Recommended A minimum of one course in the history of Great Britain or of the British Empire.,Faculty of Arts and Science,,,[],A minimum of one course in the history of Great Britain or of the British Empire.,History,HIST,,"[""Ireland"", ""1798 Rising"", ""religion"", ""social structures"", ""political structures""]",
HIST 485,The Social History of Canada: 1850-1919,3.0,4.0,"This course investigates some of Canada's major social questions. Marginalized people were the main groups affected by or seen to be causing them. The solutions were institutions, legislation, or both. Institutions were mainly created in the 19th century, taking the form of asylums, hospitals, prisons, workhouses, and even schools.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 458/6.0.,Faculty of Arts and Science,,,"[""HIST 458/6.0""]",,History,HIST,,"[""Canada"", ""social questions"", ""marginalized people"", ""institutions"", ""legislation""]",
HIST 486,The Social History of Canada in the 20th Century,3.0,4.0,"After WWI, Canada embarked on a new trajectory and entered the modern age. New issues, particularly those concerning women, the so-called ""youth problem"", and Indigenous people began to make themselves evident Questions of race, poverty, and work continued to be important, particularly during the Great Depression of the 1930s.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330. Exclusion HIST 458/6.0.,Faculty of Arts and Science,,,"[""HIST 458/6.0""]",,History,HIST,,"[""Canada"", ""WWI"", ""modern age"", ""women"", ""Indigenous people"", ""Great Depression""]",
HIST 487,Theory and Philosophy of History,3.0,4.0,"A seminar course which will explore the major questions that have occupied philosophers and theorists of history and historiography from antiquity to our own time: subjects covered will include substantive philosophies, neo-Kantianism and idealism; pragmatism; analytical philosophy of history; postmodernism, and temporality.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""philosophy of history"", ""historiography"", ""neo-Kantianism"", ""postmodernism"", ""temporality""]",
HIST 498,"China's Revolutions, 1911-1949",3.0,4.0,A course on China's nationalist and communist revolutions. Readings explore rival revolutionaries' goals and programs. Seminars examine the internal and international struggles affecting the outcome of the civil war of 1946-1949.,Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""China"", ""nationalist revolution"", ""communist revolution"", ""civil war"", ""1946-1949""]",
HIST 499,China Since 1949,3.0,4.0,"Explores political, economic, and cultural change in the People's Republic of China, while providing an introduction to specialized research methods. Attention will also be devoted to the recent history of Taiwan and Hong Kong.",Prerequisite Registration in a HIST Major or Joint Honours Plan and a minimum grade of C+ in 6.0 units from HIST 300-330.,Faculty of Arts and Science,,,[],,History,HIST,,"[""China"", ""People's Republic"", ""Taiwan"", ""Hong Kong"", ""research methods""]",
HIST 501,History/Queen's Archives Internship,6.0,,"Offers credit for archival work undertaken in conjunction with Queen's University Archives. One month before the beginning of the term during which the work will be undertaken, students must submit an application to the Chair of Undergraduate Studies requesting credit hours commensurate with the project's learning hours.
NOTE This course may be taken only once during a student's degree program.
NOTE Students will be given a grade of Pass/Fail for work done.",Prerequisite Level 2 or above and permission of the Department. Exclusion HIST 212/3.0; HIST 502/3.0; HIST 512/6.0.,Faculty of Arts and Science,,,"[""HIST 212/3.0"", ""HIST 502/3.0"", ""HIST 512/6.0""]",,History,HIST,,"[""archival work"", ""Queen's University Archives"", ""Pass/Fail"", ""undergraduate studies"", ""credit hours""]",
HIST 502,History/Queen's Archives Internship,3.0,,"Offers credit for archival work undertaken in conjunction with Queen's University Archives. One month before the beginning of the term during which the work will be undertaken, students must submit an application to the Chair of Undergraduate Studies requesting credit hours commensurate with the project's learning hours.
NOTE This course may be taken only once during a student's degree program.
NOTE Students will be given a grade of Pass/Fail for work done.",Prerequisite Level 2 or above and permission of the Department. Exclusion HIST 212/3.0; HIST 501/6.0; HIST 512/6.0.,Faculty of Arts and Science,,,"[""HIST 212/3.0"", ""HIST 501/6.0"", ""HIST 512/6.0""]",,History,HIST,,"[""archival work"", ""Queen's University Archives"", ""Pass/Fail"", ""application"", ""Undergraduate Studies""]",
HIST 512,Experiential Learning in Academic Publishing,6.0,,"This internship course provides a broad understanding of the publishing industry through an embedded learning experience in a leading publishing venue. Placements will focus on publishing workflow, editorial skills, publishing software, review protocols, impact factor metrics, marketing, publicity, and broad principles of editorial management.
NOTE At least one month before the beginning of term during which the work will be undertaken, students must submit an application to the department.",Prerequisite Level 3 or above and permission from the Department. Exclusion HIST 212/3.0; HIST 501/6.0; HIST 502/3.0.,Faculty of Arts and Science,,,"[""HIST 212/3.0"", ""HIST 501/6.0"", ""HIST 502/3.0""]",,History,HIST,,"[""internship"", ""publishing industry"", ""editorial skills"", ""marketing"", ""publicity""]",
HIST 514,Independent Research Paper,3.0,,"This course is intended to expand upon a research paper written for an upper-level seminar (HIST 333-499) and must include independent research involving the use of primary and secondary sources. A student may also propose a new topic that they have not previously explored.
NOTE Students must obtain the approval of the supervising instructor and of the Undergraduate Committee for any proposal submitted.",Prerequisite Level 4 or above and registration in a HIST Major or Joint Honours Plan and a cumulative GPA of 3.30 or higher. Exclusion HIST 515/6.0; HIST 517/3.0.,Faculty of Arts and Science,,,"[""HIST 515/6.0"", ""HIST 517/3.0""]",,History,HIST,,"[""research paper"", ""primary sources"", ""secondary sources"", ""upper-level seminar"", ""Undergraduate Committee""]",
HIST 515,Independent Research Paper,6.0,,The research paper must be based on independent research involving the use of primary and secondary sources. The instructor may assign additional assessments to assist the student in producing the final paper.,Prerequisite Level 4 or above and registration in a HIST Major or Joint Honours Plan and a cumulative GPA of 3.30 or higher. Exclusion HIST 514/3.0; HIST 517/3.0.,Faculty of Arts and Science,,,"[""HIST 514/3.0"", ""HIST 517/3.0""]",,History,HIST,,"[""research paper"", ""primary sources"", ""secondary sources"", ""independent research"", ""additional assessments""]",
HIST 517,Independent Study Project,3.0,,"The project may be either a research project involving the use of primary and secondary sources, or a more broadly conceived independent reading program. This course is available to students studying on main campus, as well as students participating in an international education program.
NOTE Students must obtain approval of the supervising instructor and of the Undergraduate Committee. If students are completing the project during their term away, two supervising instructors are required. The primary instructor must be from the partnering institution and a secondary supervisor must be from the Department of History, Queen's University.",Prerequisite Level 3 or above and registration in a HIST Major or Joint Honours Plan and a cumulative GPA of 3.30 or higher. Exclusion HIST 514/3.0; HIST 515/6.0.,Faculty of Arts and Science,,,"[""HIST 514/3.0"", ""HIST 515/6.0""]",,History,HIST,,"[""research project"", ""primary sources"", ""secondary sources"", ""independent reading"", ""international education""]",
HIST 594,Independent Study,3.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.
NOTE Also offered at Bader College, UK.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,History,HIST,,"[""independent study"", ""third-year"", ""fourth-year"", ""Bader College"", ""concentration requirements""]",
HIST 595,Independent Study,6.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,History,HIST,,"[""independent study"", ""third-year"", ""fourth-year"", ""concentration requirements"", ""Department approval""]",
HIST 596,Independent Study,12.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,History,HIST,,"[""independent study"", ""third-year"", ""fourth-year"", ""concentration requirements"", ""Department approval""]",
HIST 597,Independent Study,18.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,History,HIST,,"[""independent study"", ""third-year"", ""fourth-year"", ""concentration requirements"", ""Department approval""]",
HIST 598,Independent Study,9.0,,"Exceptionally qualified students entering their third- or fourth-year may take a program of independent study provided it has been approved by the Department or Departments principally involved. The Department may approve an independent study program without permitting it to be counted toward a concentration in that Department. It is, consequently, the responsibility of students taking such programs to ensure that the concentration requirements for their degree will be met.
NOTE Requests for such a program must be received one month before the start of the first term in which the student intends to undertake the program.",Prerequisite Permission of the Department or Departments principally involved.,Faculty of Arts and Science,,,[],,History,HIST,,"[""independent study"", ""third-year"", ""fourth-year"", ""concentration requirements"", ""Department approval""]",
INDG 101,Indigenous Knowledges and Perspectives,3.0,1.0,"This course introduces Indigenous knowledge systems and perspectives on important issues facing Canada and the world. With a focus on local Indigenous peoples, you will also develop a general knowledge of Indigenous nations across North America. This course will prepare you to evaluate narratives related to Indigenous peoples and equip you to challenge the western cultural dominance arising from the history of colonization, centering Indigenous knowledge and perspectives. The course will be presented from an Indigenous perspective using both Indigenous and mainstream teaching methods.",Prerequisite None. Exclusion DEVS 220/3.0.,Faculty of Arts and Science,,,"[""DEVS 220/3.0""]",,Indigenous Knowledges & Perspectives,INDG,,"[""Indigenous knowledge"", ""colonization"", ""North America"", ""perspectives"", ""teaching methods""]",
