,Unnamed: 0,course_code,course_name,units,description,requirements,faculty,outcomes,prerequisites,corequisites,exclusions,recommended
1210,6,HIST 111,Modern Europe: Politics and Culture,3.00,"This course looks at the history of modern Europe as the interaction between politics, culture, and ideas. Narratives of the major events of modern European history, including the French Revolution, the Russian Revolution, and the two world wars will be intertwined with an in-depth look at modern philosophy, literature, and art.",Prerequisite None. Exclusion HIST 106/3.0; HIST 121/6.0; HIST 125/6.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Acquire and demonstrate introductory knowledge of the political, intellectual, and cultural history of modern Europe.
Develop and demonstrate understanding of historical methodology through critical analysis of primary and secondary sources.
Develop and hone ability to read historical works and apply critical thinking skills in historical analysis.
Demonstrate the ability to discuss and debate historical ideas and acquire and apply research skills to sharpen historical arguments.
Acquire skills in persuasive writing styles and apply writing skills in historical analyses.",None.,,HIST 106/3.0; HIST 121/6.0; HIST 125/6.0.,
1211,7,HIST 121,The Intellectual Origins of the Contemporary West,6.00,An introduction to European intellectual history from the ancient world to the present. Concentration is on the analysis of primary sources and ideas in their historical contexts. The course offers weekly introductory lectures followed by discussion of source material in small tutorial groups where the objective is maximum student participation.,Prerequisite None. Exclusion Maximum of one course from: HIST 106/3.0; HIST 111/3.0; HIST 121/6.0; HIST 125/6.0. Exclusion Maximum of one course from: HIST 110/3.0; HIST 121/6.0; HIST 125/6.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Understand the broad contours of the field of European intellectual history.
Develop critical reading skills by engaging with a variety of primary and secondary sources.
Enhance written communication skills, such as persuasive writing by completing a variety of written assessments and engaging with instructor feedback.
Display an improved capacity for oral presentation and debate.
Engage with the historical methodology by determining historical significance; assessing and marshalling primary historical evidence; explaining continuity and change over time; identifying historical cause, consequence, and context.",None.,,Maximum of one course from: HIST 106/3.0; HIST 111/3.0; HIST 121/6.0; HIST 125/6.0. Exclusion Maximum of one course from: HIST 110/3.0; HIST 121/6.0; HIST 125/6.0.,
1212,8,HIST 122,The Making of the Modern World,6.00,"A survey of the history of the world with an emphasis on the interconnectedness of the human experience. Themes include global processes of political change, warfare, commerce, cultural formations, biological and environmental agents, and industrial emergence as the arbiters of change that led to the formation of the modern world.",Prerequisite None. Exclusion Maximum of one course from: HIST 108/3.0; HIST 122/6.0. Exclusion Maximum of one course from: HIST 109/3.0; HIST 122/6.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Demonstrate knowledge of the global processes that led to the emergence of the interconnected modern world.
Identify the historical processes that co-constituted global societies in the last two millennia.
Evaluate different kinds of historical sources, including textual, visual, aural, and multimodal sources, and adopt the ones best suited for historical analysis based on veracity and context.
Acquire the ability to process historical information in lectures and seminars and develop the skill of forming evidence-based historical arguments and present them orally in a group setting.
Practice persuasive historical writing in short and long-form essays.",None.,,Maximum of one course from: HIST 108/3.0; HIST 122/6.0. Exclusion Maximum of one course from: HIST 109/3.0; HIST 122/6.0.,
1213,9,HIST 124,Canada: A History of the Present,6.00,"A historical survey of the liberal, capitalist, and multicultural democracy we now call Canada. Through lectures, seminars, and the analysis of historical texts and heritage sites, the course explores the social-political struggles over Indigeneity and race, class and colonialism, gender and sexuality, which continue to shape contemporary Canada.
NOTE Also offered online. Consult Arts and Science Online. Learning Hours may vary.",Prerequisite None. Exclusion Maximum of one course from: HIST 104/3.0; HIST 124/6.0; HIST 260/6.0. Exclusion Maximum of one course from: HIST 105/3.0; HIST 124/6.0; HIST 260/6.0; HIST 279/3.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Apply the six key concepts of historical thinking: determine historical significance; assess and marshal primary historical evidence; explain continuity and change over time; identify historical cause, consequence, and context; deploy historical perspective and avoid presentism; identify ethical dimensions in the relationship between the past and present.
Use historical analytical concepts, including social formations; historical memory and counter-memory; colonialism and decolonization; gender/race/class/sexuality.
Critique public representations of history.
Deploy historiographical skills: research secondary sources; place historical writing in historiographical context; critique academic historical writing. These skills will be part of the winter-term project.
Hone critical writing skills: develop an argument, organize a paper, demonstrate the elements of style in relation to a paper proposal, annotated bibliography, book critique, and an essay.
Develop skills in the critical analysis of historical sources. Seminars are designed as workshops to develop transferable skills in the critical analysis of primary documents and secondary readings.",None.,,Maximum of one course from: HIST 104/3.0; HIST 124/6.0; HIST 260/6.0. Exclusion Maximum of one course from: HIST 105/3.0; HIST 124/6.0; HIST 260/6.0; HIST 279/3.0.,
1214,10,HIST 125,The Evolution of Modern Europe,6.00,"A survey of European history from the 18th through the 21st century. The focus is on the revolutions and conflicts which produced modern Europe, notably political revolutions (1789, 1848, and 1917), industrialization, urbanization, population growth, secularization, the rise of new classes, nationalism, and imperialism, changes in ideologies and popular attitudes, rise and fall of authoritarian regimes, world wars, and European integration.
NOTE Also offered online. Consult Arts and Science Online. Learning Hours may vary.",Prerequisite None. Exclusion Maximum of one course from: HIST 106/3.0; HIST 111/3.0; HIST 121/6.0; HIST 125/6.0. Exclusion Maximum of one course from: HIST 110/3.0; HIST 121/6.0; HIST 125/6.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Identify and state the historical significance of major trends and milestones in European history during the 18th–21st centuries.
Analyze issues and problems in European history in their historical context.
Analyze primary and secondary sources on European history to acquire historiographical skills and understand the structure of historical arguments.
Analyze and discuss historical problems in European history and develop the skills to identify the differences in historiographical schools of thought.
Apply historical research methods to analyze historical sources and apply effective essay-writing to argue that analysis.",None.,,Maximum of one course from: HIST 106/3.0; HIST 111/3.0; HIST 121/6.0; HIST 125/6.0. Exclusion Maximum of one course from: HIST 110/3.0; HIST 121/6.0; HIST 125/6.0.,
1215,11,HIST 200,India and the World,3.00,"This course examines the history of India as a series of contacts with the rest of the world. Topics include Roman trade in ancient India, the Portuguese, Turkish, and Mughal empires, Gandhi in South Africa, and South Asian diasporas in Europe and North America. Course materials include histories, travel accounts, court chronicles, medical treatises, literature, and film.
NOTE Also offered online. Consult Arts and Science Online.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Demonstrate a basic understanding of India’s ancient past.
Analyze the nuances of Islamic rule with special focus on the Mughals.
Discuss the political clout of Mughal queens using various sources.
Develop critical understanding early s trade routes through cartographic projects.
Critically examine the rise of right-wing politics during the colonial period and its aftereffects.
Illustrate better comprehension of South Asian politics, namely India’s relationship with Pakistan and China.",Level 2 or above.,,,
1216,12,HIST 201,"Europe, 1572-1815",3.00,"A survey of the social, cultural, economic, political and intellectual life of Europe from the French Wars of Religion to the Age of Napoleon. Topics will include religious warfare, the Scientific Revolution, state building, economic transformation, family life, popular culture, the French Revolution, and the Napoleonic Wars.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Attain an in-depth knowledge of the important political, economic, social, and cultural transformations Europe underwent during the early modern period.
Refine critical reading skills and learn to analyze historical evidence and primary sources.
Identify and synthesize arguments presented in course lectures and reading material coherently, precisely, and concisely.
Demonstrate in written work a sophisticated understanding of the course material.
Practice and refine writing skills through written assignments and essay exams.",Level 2 or above.,,,
1217,13,HIST 202,Migration and Multiculturalism in Canada,3.00,"This course explores migration and multiculturalism in Canada by paying attention to the achievements and aspirations of individuals, households, ethnic communities, provinces, nations, and international organizations.",Prerequisite Level 2 or above. Exclusion HIST 242/3.0 (Topic Title: Migration and Multiculturalism in Canada - Winter 2024).,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Identify critical debates and issues in the fields of Migration Studies, Multiculturalism Studies, Canadian Studies, and cognate fields of inquiry.
Deepen and extend knowledge of key debates and issues in the fields of Migration Studies, Multiculturalism Studies, Canadian Studies, and cognate fields of inquiry.
Apply disciplinary and interdisciplinary theories, concepts, and methods to study and engage the connections between Migration Studies, Multiculturalism Studies, Canadian Studies, and cognate fields of inquiry.
Communicate effectively in written form for academic and professional audiences, with an ability to synthesize and critically evaluate material.",Level 2 or above.,,HIST 242/3.0 (Topic Title: Migration and Multiculturalism in Canada - Winter 2024).,
1218,14,HIST 206,"The United States in the Gilded Age and Progressive Era, 1868-1920",3.00,"An introduction to the history of the United States during the turbulent period from 1868 until 1920. Topics may include industrialization, reform movements, mass consumption, corporations, imperialism, immigration, urbanization, the rise of segregation, agricultural transformation, art, and literature.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Attain an in-depth knowledge of the important political, economic, social, and cultural transformations the United States underwent between 1865 and 1920.
Refine critical reading skills and learn to analyze historical evidence and primary sources.
Identify and synthesize arguments presented in course lectures and reading material coherently, precisely, and concisely.
Demonstrate in written work a sophisticated understanding of the course material.
Practice and refine analytic writing skills through written assignments and essay exams.",Level 2 or above.,,,
1219,15,HIST 207,Global Indigenous Histories,3.00,"This course will grapple with the idea of indigeneity and explore the conflicts and consequences that have occurred whenever Indigenous peoples have encountered colonizing invaders. Cases outside of the conventional narrative of European expansion will be examined, including the Han occupation of Taiwan.
NOTE Only offered online. Consult Arts and Science Online.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Examine the concepts of global Indigeneity and global Indigenous history and critically reflect on how and why these concepts might be useful and/or problematic.
Explore the causes, conflicts, and consequences that have occurred wherever Indigenous communities have encountered colonizing invaders throughout history.
Discuss examples of historical and modern Indigenous experiences, movements, and ongoing struggles, using relevant case studies and new methodological approaches.
Critically evaluate and interpret primary and secondary source materials, considering how author positionality, as well as the time and location of the publication, can impact authors’ perspectives.
Analyze evidence and historiographical information to engage in well-researched and respectful discussions and to develop and support historical arguments about Indigeneity and Indigenous history, as well as the evolution of these concepts in a global context.
Centre and highlight Indigenous scholarship, knowledge, writing, and cultural production.
Build a “historian’s toolkit” to produce an academic paper - retrieve primary and secondary sources, differentiate between academic and non-academic secondary sources, and provide accurate and properly formatted citations in formal papers.",Level 2 or above.,,,
1220,16,HIST 210,The History of Sexuality in Canada,3.00,"An overview of the sexual past in this place we now call Canada, from Indigenous gender/sexual practices to queer and trans identities and movements. Attentive to race, class, and gender, the course employs sexuality to analyze power in Canadian history while emphasizing the connections between past and present-day sexual politics.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Describe and discuss the central themes in the history of sexuality in Canada through the active listening and synthesis of lectures as well as course readings.
Explain how to think about sexuality as historical, in contrast to other approaches, such as the biological or psychological.
Differentiate and demonstrate the historical connections between sexuality and other variables, such as race, gender, class, age, economics, colonialism, and nationalism.
Assess the public presentation of the history of sexuality in Canada through a short paper that critiques academic and popular websites, podcasts, and other social media focused on the sexual past.
Analyze the links between the sexual past and present-day sexual politics through the research and writing of a paper that takes a current issue of sexuality as its starting point.",Level 2 or above.,,,
1221,17,HIST 211,The Cold War,3.00,"This course will explore the origins of the struggle between the postwar superpowers, the United States and the Soviet Union; the changing nature of their rivalry, and the way other nations were drawn into the conflict. It considers the Cold War from Western, Soviet, and various global perspectives.
NOTE Also offered online. Consult Arts and Science Online.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Identify and describe issues and problems of Cold War history in their historical context and demonstrate a broader knowledge of relevant Cold War scholarship.
Summarize, articulate, and discuss historical problems in short and long essay formats.
Develop a nuanced and analytical way of thinking about the history of modern conflict in relation to the Cold War.
Develop and improve research and writing skills in a research paper format and hone the skills in building theses.
Develop in-depth analysis of primary historical sources.",Level 2 or above.,,,
1222,18,HIST 212,Experiential Learning in Historical Practice,3.00,"Offers credit for experiential learning opportunities. Examples of internships secured by the department include, but are not limited to, experience-based learning opportunities in museums, archives, historic sites, NGOs, etc. Student-initiated placements will also be considered.
NOTE This course may be taken only once during a student's degree program. Students must submit an application to the Department at least one month prior to registration.
NOTE Students will be given a grade of Pass/Fail for work done.",Prerequisite Level 2 or above and permission of the Department. Exclusion HIST 501/6.0; HIST 502/3.0; HIST 512/6.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Draw connections between theoretical concepts of historical study and practical experiences of work-integrated learning to identify training pathways and opportunities for careers in applied history, education, public history, and related fields.
Develop and exhibit professional skills such as adaptability, initiative, self-management, time management, collaboration, civic engagement, intercultural competence and oral and written communication.
Engage in a self-reflexive review process to determine professional and personal strengths and interests while developing a plan for improving other skills.
Produce high quality written work for a variety of audiences by interacting with placement stakeholders and the public to apply key skills required of public historians.
Additional learning outcomes are specific to the individual internship placement and will be developed between the intern and their Internship Supervisor using the Experiential Learning Introduction Worksheet.",Level 2 or above and permission of the Department.,,HIST 501/6.0; HIST 502/3.0; HIST 512/6.0.,
1223,19,HIST 213,Comparative Public Policy,6.00,"Examines the rise of the welfare state since 1945 in North America and Western Europe. Topics include broad trends like deindustrialization, globalization, the rise of inequality, and social mobility. Specific policies discussed concern health care, pensions, unemployment, families, taxation, immigration, higher education, and public housing.",Prerequisite Level 2 or above. Exclusion HIST 253/3.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Read widely in interdisciplinary fashion; acquire familiarity with other fields.
Acquire a basic literacy in economic history.
Acquire a basic literacy in contemporary public policy issues, seen in a historical lens.
Write research papers that stress examining a contentious issue from various political viewpoints.
Apply historical knowledge to contemporary public policy problems.",Level 2 or above.,,HIST 253/3.0.,
1224,20,HIST 214,Food in Global History,3.00,"This online course will attempt to study aspects of global history using food as a central theme. We begin from the reflection that food has successfully transcended political and cultural boundaries in the global past, and it provides a promising path for interrogating socio-economic and cultural issues in transnational contexts.
NOTE Only offered online. Consult Arts and Science Online.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Identify and describe the political history of food and how food has contributed to hegemonic rule and struggles over distribution.
Discuss and explain the ways in which food shapes major cultural changes.
Research specific commodities, outline, and evaluate their roles in globalization.
Evaluate how migration, movements, and birth of new technology were solely caused by demands for certain food items.
Analyze “hegemonic contests” fought over food by women, the poor, and the racial minorities.",Level 2 or above.,,,
1225,21,HIST 215,"Sport, Virtue, and Violent Spectacle from Antiquity to the Renaissance",3.00,"Sport, virtue, and violent public entertainments from antiquity to the Renaissance, from athletic contests in Greece, gladiatorial games and chariot races in Rome, Christian martyrs in the arena, desert monks battling demons, to jousts, hunts, animal combats, dueling and mock battle games of medieval and Renaissance Europe.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Discuss the relevance of sport and violent spectacles for different European cultures from Antiquity to the Early Modern World.
Explore the role of gender and the changing notions of virtue in sport and war over a period of 2,000 years.
Perceive the connection between mental and physical education in European history.
Synthesize and discuss lecture and course reading contents coherently, precisely, and concisely.
Use primary source course materials to form and support cogent arguments in lucid English prose.",Level 2 or above.,,,
1226,22,HIST 216,U.S. Civil War and Reconstruction,3.00,"This course explores the political, social and intellectual origins of the U.S. Civil War, experiences of soldiers and civilians, and major issues of Reconstruction. Major topics include slavery, the anti-slavery movement, the roots of secession, the Civil War and memory.",Prerequisite Level 2 or above. Exclusion HIST 304/6.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Understand the multiple causes and consequences of the U.S. Civil War and Reconstruction.
Identify and synthesize arguments presented in lecture and reading material coherently, precisely, and concisely.
Critically read and analyze primary sources; place primary sources within wider historical context.
Practice and refine analytic writing skills through written assignments and essay exams.
Critique public representations of the period 1820-1915.",Level 2 or above.,,HIST 304/6.0.,
1227,23,HIST 217,"Indigenous Peoples and New France, 1534-1800",3.00,"This course examines the history of Indigenous peoples and French colonists in North America from the 16th to early 19th century. This class places the French colonial experience and its legacy in context and sets a foundation for understanding the English-French divide in contemporary Canada, Québec nationalism, and the rise of the Métis.",Prerequisite Level 2 or above. Exclusion HIST 242 (Topic Title: Indigenous Peoples and New France - Winter 2021; Fall 2021).,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Demonstrate knowledge and understanding of the history of Indigenous peoples and New France.
Read critically, evaluate, and interpret historical sources.
Analyze evidence and use that evidence to develop and support historical arguments.
Address the Truth and Reconciliation Commission of Canada’s call to actions concerning education (6-12) and language and culture (13-17).
Acquire a historian’s skillset: This involves learning how to locate and retrieve library books and articles, to differentiate between academic and non-academic secondary sources, to provide accurate and properly formatted citations in formal papers according to the Chicago Manual of Style, to adhere to the fundamental values of Academic integrity.",Level 2 or above.,,HIST 242 (Topic Title: Indigenous Peoples and New France - Winter 2021; Fall 2021).,
1228,24,HIST 218,Byzantium,3.00,"An introduction to the fabled world of Byzantium. The course surveys key aspects of Byzantine political history, society and culture. It traces the transformation of the empire from its origins in third century Rome into the 'other' middle ages of the Eastern Mediterranean and the Balkans ending with the fall of Constantinople in 1453.",Prerequisite Level 2 or above. Exclusion HIST 301/6.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Obtain a general grasp of the outline of the political history of the Byzantine state during the eleven hundred years from its foundation in Late Antiquity to its ultimate demise in the Late Medieval period.
Acquire a broad understanding of some of the most notable features of Byzantine society, culture, and belief.
Gain a sense of Byzantium’s changing place in the world and of its relations with and attitudes towards the many peoples, powers, and religions of the regions surrounding it.
Relate the history of Byzantium both to Medieval, Middle Eastern, and Mediterranean studies and to relevant aspects of the contemporary world.
Develop research, writing, and knowledge acquisition skills appropriate to a general course in History above the introductory level.",Level 2 or above.,,HIST 301/6.0.,
1229,25,HIST 219,"""Canada"": The History of an Idea",3.00,"A course exploring the many meanings of ""Canada"", ""Canadian"", and ""Canadien"" from the 1300s to today. Asking ""What is Canada?"" The course is a historical overview giving particular attention to the political, demographic, ethnological and colonial changes that altered these definitions over time and what/who the name refers to.",Prerequisite Level 2 or above. Exclusion HIST 260/6.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Identify and describe the many meanings of the words “Canada,” “Canadian,” and “Canadien” and their evolution over time.
Describe and explain the events, conjectures and changes that affected the many meanings behind the idea of Canada in the past and the present.
Identify and assess the historical, demographic, ethnological, political and colonial changes in the territory now known as Canada.
Explain the politically laden meanings of the idea of “Canada” in contemporary contexts.
Recognize the colonial past and present of the country and territory now known as Canada.",Level 2 or above.,,HIST 260/6.0.,
1230,26,HIST 220,Jews on Film,3.00,"A history of the film industry from a Jewish perspective. Has Hollywood's Jewish roots had a discernible impact on content? Why did Hollywood hesitate to make Holocaust movies until the 1960s? How has anti-Semitism affected the way in which Jews were represented on screen? Topics include LGBTQ2, African-Americas, Latinx, and Asians in film.","Prerequisite Level 2 or above. Exclusion HIST 244 (Topic Title: Jews on Film - Winter 2018, Winter 2019); HIST 400 (Topic Title: Jews on Film - Winter 2013, Winter 2014, Fall 2014, Winter 2016, Fall 2016).",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Trace the history of Jewish representation in popular culture: film, television, radio and comic books.
Identify the key political and cultural moments in the history of media in North America and the technological advances that were also significant drivers of change.
Identify and summarize historical arguments presented in lecture and the course readings.
Understand the history of antisemitism in North America and how it impacted the film industry.
Consider the effect of film censorship on Hollywood content from the studio era to the present.
Hone their analytic skills in written work that builds on course material.",Level 2 or above.,,"HIST 244 (Topic Title: Jews on Film - Winter 2018, Winter 2019); HIST 400 (Topic Title: Jews on Film - Winter 2013, Winter 2014, Fall 2014, Winter 2016, Fall 2016).",
1231,27,HIST 221,Jewish and World Civilizations (until 1492),3.00,"An examination of continuity and change in Judaism and Jewish history from ancient times to the beginning of the modern era: Biblical Judaism; interactions between the Jews and other ancient and medieval civilizations and religions - Babylon, Greece, Rome, Christianity, and Islam; rabbinic Judaism and communal life in Diaspora.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,,Level 2 or above.,,,
1232,28,HIST 222,Jewish and World Civilizations (since 1492),3.00,"An examination of continuity and change in Judaism and Jewish history from the beginning of the modern era to post World War II: emancipation, assimilation, and the Jewish question; modernization of Judaism; antisemitism; Holocaust; Zionism and the Jewish state; overall impact of modernity on Jewish life.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,,Level 2 or above.,,,
1233,29,HIST 223,Poison and Prejudice: Toxins in Global History,3.00,"This course will examine how toxins have played an important role in health, forensic research, standards of beauty and intercultural associations through an interrogation of the larger socio-political context in which poisons hold meaning.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Acquire knowledge on the evolution of toxicology.
Evaluate the roles of criminal cases in understanding larger socio-political historical narratives.
Examine the development of forensic science in crime detection.
Analyze gender roles in handling and making poisons.
Identify how the history of poison can shed light on the workings of race, resistance, and the politics of prejudice.
Develop necessary skills to examine primary and secondary sources, build historical arguments, and write persuasive historical essays.",Level 2 or above.,,,
1234,30,HIST 224,Canadian Francophone Communities,3.00,"This online course introduces students to the social, cultural, economic, and political realities of French speaking communities outside Quebec, from the 19th century to today. It offers an overview of the questions of immigration, assimilation, education, religion, and linguistic rights in their development and continued existence.
NOTE Also offered online. Consult Arts and Science Online.",Prerequisite Level 2 or above. Note This course can be taken in either French or English.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Describe a variety of Francophone communities in Canada and their religious contexts.
Explain and compare the cultural challenges of minority Francophone communities in Canada.
Identify the significant events and their consequences in Canadian Francophone history since the 19th century.
Describe the consequences of the acquisition of French-language educational rights since the 19th century.
Develop skills to communicate in a clear and concise manner to work with peers collaboratively.
Apply critical thinking skills to a variety of written forms to reflect and evaluate information being presented.",Level 2 or above. Note This course can be taken in either French or English.,,,
1235,31,HIST 225,The Early Middle Ages,3.00,"An introduction to Medieval Europe from the fall of Rome to the 11th century including the history of the Church, monasticism, the conversion of Europe and Carolingian Empire. The course will cover the disintegration of the Roman Empire and the subsequent emergence of new kingdoms and social structures.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Acquire a clear overview and some detailed knowledge of the patterns and key historical events of the period loosely defined as the Early Middle Ages in Western Europe (4th to 11th centuries CE).
Acquire a clear overview and some detailed knowledge of key social and cultural developments in the period, including the emergence of Christianity and its institutions and their development to a position of dominance.
Develop a general understanding of the context in which Early Medieval Western Europe emerged in relation to Rome and Late Antiquity, and contemporary Germanic, Byzantine and Islamic societies and cultures.
Develop an ability to relate historical understanding of the Early Medieval period to relevant present-day debates and issues at a rudimentary but informed level.
Practice and develop learning, research and writing or other communication skills appropriate to the level of a general History lecture.",Level 2 or above.,,,
1236,32,HIST 226,The Later Middle Ages,3.00,"An introduction to late medieval Europe from the year 1000CE to 1500CE. During this time, major political, religious, social, and environmental changes transformed Europe, and relationships - between church and state, the ""three estates"" of the clergy, nobility, and peasantry, and Europe and the wider world - were evaluated and re-defined.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Acquire an in-depth study of the forces and traditions that shaped and re-shaped Western Europe from the eleventh through the fifteenth century.
Acquaint themselves with local developments in French, British, German, and Italian societies of the High Middle Ages through to the Renaissance, while also recognizing a Mediterranean framework that reflects the political, economic, and cultural interdependence of medieval European societies, Byzantium, and Islamic societies.
Hone analysis skills through a variety of primary sources: including narrative and non-narrative written sources, art, and material culture.
Engage in historiographical debates concerning this period.
Fine tune their critical thinking skills, through document analysis and sound argumentation, in written form.",Level 2 or above.,,,
1237,33,HIST 227,The Rise of Consumer Society,3.00,"The course analyzes how consumerism has shaped the global order, ecosystems, and culture, from its origins in imperialism and industrialization. It examines how consumer societies' transform nature, by exploiting animals and resources and discarding goods and industrial by-products.",Prerequisite Level 2 or above. Exclusion HIST 241 (Topic Title: Rise of Consumer Society - Winter 2015; Winter 2016; Fall 2016; Winter 2020).,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Analyze their everyday experiences to think critically about purchasing habits and the market economy.
Summarize, discuss, and articulate historical interpretations and arguments verbally in group settings and through written assessments.
Develop and refine writing skills through analytical and research-based essays.
Generate in-depth analysis of primary sources and situate them in broader historical context.
Identify how historical consumer behaviours links to the present-day environmental crisis and economic development.
Analyze how historical patterns and events are related to consumer behavioral patterns and how these affect the global environment.",Level 2 or above.,,HIST 241 (Topic Title: Rise of Consumer Society - Winter 2015; Winter 2016; Fall 2016; Winter 2020).,
1238,34,HIST 228,Global History of Pandemics,3.00,"Choosing from the case studies of the bubonic plague, smallpox, influenza, cholera, tuberculosis, and AIDS, this course will help us understand how the history of pandemics is crucial to understanding the major turning points in global history, and how diseases can serve as a useful lens to understand the major currents of sociocultural history.","Prerequisite Level 2 or above. Exclusion HIST 241/3.0 (Topic Title: Global History of Pandemics - Fall 2018, Winter 2020); HIST 402/3.0 (Topic Title: How Pandemics Shaped the World - Summer 2024).",Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Identify and analyze the major pandemics in global history and describe the economic, social, and political consequences of each outbreak.
Interpret the role that diseases and epidemics have played in shaping the course of human history and how disruptive forces of diseases have paradoxically contributed to globalization.
Evaluate the role of pandemics in shaping the discourse of modern health care policies and public health care programs.
Examine religious, literary, and cultural consequences of global pandemics, and describe how diseases have led to emergence of new genres of art and literature.
Develop skills in active listening, note-taking, group communications, and critical thinking.
Employ a diverse range of historical sources to formulate historical arguments and hone written communication skills through a variety of writing assignments.",Level 2 or above.,,"HIST 241/3.0 (Topic Title: Global History of Pandemics - Fall 2018, Winter 2020); HIST 402/3.0 (Topic Title: How Pandemics Shaped the World - Summer 2024).",
1239,35,HIST 231,World War II,3.00,"The world today is what it is in large part because of World War II. The course will help students develop an in-depth knowledge of this seminal conflict. It will focus on key battles and patterns of combat, but equally important, it will build on a variety of personal wartime experiences and examine the war's global impact on societies and cultures.
NOTE Only offered online. Consult Arts and Science Online.",Prerequisite None.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Identify and explain the historical significance of major trends and milestones in World War II as a global conflict.
Discuss and analyze issues and problems in the history of World War II in their proper historical context.
Apply historical research methods independently and in collaboration to locate, analyze, and interpret primary and secondary sources on World War II and present that analysis in a collaborative project on a World War II-related topic.
Apply historical research methods to locate, analyze and interpret primary and secondary sources on World War II and apply effective essay-writing to argue that analysis.
Recognize and integrate voices and experiences of historically underrepresented groups into the framework of World War II as a global conflict.",None.,,,
1240,36,HIST 241,Issues in History,3.00,"Lecture course on a selected historical issue. Subject changes from year to year; course is either being offered for the first time or is being taught by visiting faculty. Consult department office or website for details.
NOTE This course is repeatable for credit under different topic titles.
NOTE Also offered at Bader College, UK (Learning Hours may vary).",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,,Level 2 or above.,,,
1241,37,HIST 242,Issues in Canadian History,3.00,"Lecture course on a selected historical issue. Subject changes from year to year; course is either being offered for the first time or is being taught by visiting faculty. Consult department office or website for details.
NOTE This course is repeatable for credit under different topic titles.",Prerequisite Level 2 or above.,Offering Faculty: Faculty of Arts and Science,,Level 2 or above.,,,
1242,38,HIST 243,The Crusades,3.00,A general introduction to the history of the Crusades and holy war in the medieval period. Western and non-Western perspectives will be considered.,Prerequisite Level 2 or above. One-Way Exclusion May not be taken with or after HIST 430/6.0; HIST 443/3.0; HIST 444/3.0.,Offering Faculty: Faculty of Arts and Science,"Course Learning Outcomes:
Acquire a clear overview and some detailed knowledge of the history of the events that came to be known as the Crusades, primarily those fought against Islam in the period 1095-1291.
Acquire a clear overview and some detailed knowledge of the history of the Frankish kingdoms and principalities of the Levant in the period 1099-1291.
Develop a general understanding of the context in medieval Western European, Islamic, and Byzantine society and thought against which the practice of crusading developed.
Develop a general understanding of the society established by the Crusaders and western settlers in the Levant and its interactions both with the peoples of the region and with those of Western Europe.
Develop an ability to relate medieval crusading to relevant present-day debates and issues at a rudimentary but informed level.
Practice and develop learning, research and writing or other communication skills appropriate to the level of a general History lecture.",Level 2 or above. One-Way,,May not be taken with or after HIST 430/6.0; HIST 443/3.0; HIST 444/3.0.,
