natural_language_query,sql_query
show me courses I can't take if I take GPHY 595,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'GPHY 595'"
what are the courses I can't take if I take ECON 452,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ECON 452'"
which courses I can't take if I take INDG 401,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'INDG 401'"
what are the courses I can't take if I take MICR 221,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MICR 221'"
list all courses I can't take if I take MUSC 412,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MUSC 412'"
list all courses I can't take if I take ENGL 284,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ENGL 284'"
show me courses I can't take if I take FILM 300,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'FILM 300'"
list all courses I can't take if I take HLTH 352,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'HLTH 352'"
I need courses I can't take if I take MUSC 258,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MUSC 258'"
what are the courses I can't take if I take APSC 171,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'APSC 171'"
courses I can't take if I take POLS 358,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'POLS 358'"
get me courses I can't take if I take MATH 120,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MATH 120'"
show me courses I can't take if I take HIST 448,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'HIST 448'"
get me courses I can't take if I take MUSC 419,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MUSC 419'"
I need courses I can't take if I take MINE 202,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MINE 202'"
list all courses I can't take if I take HLTH 437,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'HLTH 437'"
I want to see courses I can't take if I take LLCU 403,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'LLCU 403'"
I need courses I can't take if I take LISC 391,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'LISC 391'"
what are the courses I can't take if I take BCHM 102,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'BCHM 102'"
what are the courses I can't take if I take BIOL 404,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'BIOL 404'"
courses I can't take if I take MNTC P04,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MNTC P04'"
list all courses I can't take if I take GRMN 307,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'GRMN 307'"
get me courses I can't take if I take MATH 427,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MATH 427'"
what are the courses I can't take if I take ENCH 326,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ENCH 326'"
which courses I can't take if I take MINE 331,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MINE 331'"
show me courses I can't take if I take PSYC 453,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'PSYC 453'"
list all courses I can't take if I take PHAR 100,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'PHAR 100'"
find all courses I can't take if I take ARTH 373,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ARTH 373'"
find all courses I can't take if I take GRMN 429,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'GRMN 429'"
what are the courses I can't take if I take COCA 201,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'COCA 201'"
list all courses I can't take if I take HIST 289,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'HIST 289'"
list all courses I can't take if I take ENGL 596,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ENGL 596'"
I need courses I can't take if I take ELEC 454,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ELEC 454'"
which courses I can't take if I take ENPH 316,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ENPH 316'"
find all courses I can't take if I take BIOL 369,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'BIOL 369'"
what are the courses I can't take if I take CISC 332,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'CISC 332'"
I need courses I can't take if I take PHYS 239,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'PHYS 239'"
find all courses I can't take if I take IDIS 483,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'IDIS 483'"
find all courses I can't take if I take DRAM 321,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'DRAM 321'"
I want to see courses I can't take if I take DEVS 340,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'DEVS 340'"
get me courses I can't take if I take CLST 334,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'CLST 334'"
which courses I can't take if I take MUSC 389,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MUSC 389'"
what are the courses I can't take if I take RELS 242,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'RELS 242'"
which courses I can't take if I take PHIL 311,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'PHIL 311'"
courses I can't take if I take CHEM 281,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'CHEM 281'"
I want to see courses I can't take if I take ELEC 443,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ELEC 443'"
I need courses I can't take if I take ENCH 415,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ENCH 415'"
I want to see courses I can't take if I take ARTH 306,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ARTH 306'"
find all courses I can't take if I take ARTF 337,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ARTF 337'"
what are the courses I can't take if I take HIST 435,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'HIST 435'"
what are the courses I can't take if I take CISC 372,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'CISC 372'"
show me courses I can't take if I take ENGL 482,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ENGL 482'"
list all courses I can't take if I take PSYC 103,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'PSYC 103'"
I want to see courses I can't take if I take APSC 400,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'APSC 400'"
find all courses I can't take if I take HIST 463,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'HIST 463'"
I need courses I can't take if I take PHGY 215,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'PHGY 215'"
I want to see courses I can't take if I take DEVS 307,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'DEVS 307'"
I want to see courses I can't take if I take MINE 448,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MINE 448'"
what are the courses I can't take if I take INDG 111,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'INDG 111'"
what are the courses I can't take if I take ARTF 128,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ARTF 128'"
show me courses I can't take if I take MUSC 321,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MUSC 321'"
which courses I can't take if I take FILM 337,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'FILM 337'"
find all courses I can't take if I take MATH 228,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MATH 228'"
what are the courses I can't take if I take GPHY 207,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'GPHY 207'"
courses I can't take if I take BCHM 317,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'BCHM 317'"
get me courses I can't take if I take ENPH 431,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ENPH 431'"
what are the courses I can't take if I take ELEC 374,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ELEC 374'"
list all courses I can't take if I take CISC 499,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'CISC 499'"
I need courses I can't take if I take ARTF 127,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ARTF 127'"
what are the courses I can't take if I take ENSC 596,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ENSC 596'"
courses I can't take if I take MUSC 158,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MUSC 158'"
what are the courses I can't take if I take MUSC 481,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MUSC 481'"
what are the courses I can't take if I take DEVS 302,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'DEVS 302'"
I want to see courses I can't take if I take CISC 499,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'CISC 499'"
which courses I can't take if I take FILM 200,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'FILM 200'"
what are the courses I can't take if I take ECON 360,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ECON 360'"
courses I can't take if I take PSYC 354,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'PSYC 354'"
find all courses I can't take if I take PHIL 316,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'PHIL 316'"
I need courses I can't take if I take ECON 391,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'ECON 391'"
list all courses I can't take if I take FREN 231,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'FREN 231'"
list all courses I can't take if I take DEVS 411,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'DEVS 411'"
what are the courses I can't take if I take POLS 393,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'POLS 393'"
find all courses I can't take if I take EMPR 310,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'EMPR 310'"
find all courses I can't take if I take FREN 341,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'FREN 341'"
what are the courses I can't take if I take GNDS 295,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'GNDS 295'"
what are the courses I can't take if I take MECH 480,"SELECT course_code, course_name, description FROM complete_courses WHERE exclusions LIKE 'MECH 480'"
list all courses I need to take MUSC 358,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUSC 358'
I want to see courses I need to take MUSC 270,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUSC 270'
I want to see courses I need to take BIOL 212,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BIOL 212'
what are the courses I need to take DEVS 354,SELECT prereq_codes FROM complete_courses WHERE course_code = 'DEVS 354'
list all courses I need to take CMPE 330,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CMPE 330'
I need courses I need to take GEOL 439,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOL 439'
which courses I need to take WRIT 120,SELECT prereq_codes FROM complete_courses WHERE course_code = 'WRIT 120'
I need courses I need to take CISC 467,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CISC 467'
courses I need to take PHYS 106,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHYS 106'
I want to see courses I need to take HIST 485,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 485'
find all courses I need to take MINE 434,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MINE 434'
list all courses I need to take MATH 406,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MATH 406'
find all courses I need to take CHEE 310,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CHEE 310'
what are the courses I need to take COGS 594,SELECT prereq_codes FROM complete_courses WHERE course_code = 'COGS 594'
show me courses I need to take RELS 502,SELECT prereq_codes FROM complete_courses WHERE course_code = 'RELS 502'
courses I need to take CHEM 281,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CHEM 281'
which courses I need to take GPHY 367,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GPHY 367'
I need courses I need to take LLCU 203,SELECT prereq_codes FROM complete_courses WHERE course_code = 'LLCU 203'
what are the courses I need to take MECH 398,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MECH 398'
what are the courses I need to take BLCK 380,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BLCK 380'
courses I need to take GRMN 309,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GRMN 309'
get me courses I need to take CMPE 452,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CMPE 452'
find all courses I need to take HIST 320,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 320'
find all courses I need to take MECH 420,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MECH 420'
which courses I need to take EMPR 370,SELECT prereq_codes FROM complete_courses WHERE course_code = 'EMPR 370'
get me courses I need to take BIOL 530,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BIOL 530'
what are the courses I need to take FILM 318,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FILM 318'
what are the courses I need to take FILM 112,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FILM 112'
get me courses I need to take POLS 383,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 383'
which courses I need to take PHIL 597,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 597'
I want to see courses I need to take CISC 595,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CISC 595'
which courses I need to take PSYC 428,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PSYC 428'
find all courses I need to take ENGL 271,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENGL 271'
what are the courses I need to take ECON 351,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ECON 351'
which courses I need to take BLCK 200,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BLCK 200'
I want to see courses I need to take POLS 430,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 430'
what are the courses I need to take LLCU 327,SELECT prereq_codes FROM complete_courses WHERE course_code = 'LLCU 327'
find all courses I need to take HIST 109,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 109'
what are the courses I need to take CIVL 451,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CIVL 451'
what are the courses I need to take PSYC 203,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PSYC 203'
which courses I need to take MUTH 429,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUTH 429'
I want to see courses I need to take HIST 443,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 443'
I need courses I need to take ENGL 369,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENGL 369'
get me courses I need to take GEOE 365,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOE 365'
I need courses I need to take CHEM 311,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CHEM 311'
list all courses I need to take ENGL 335,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENGL 335'
courses I need to take GPHY 317,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GPHY 317'
I want to see courses I need to take BIOL 416,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BIOL 416'
I need courses I need to take DEVS 302,SELECT prereq_codes FROM complete_courses WHERE course_code = 'DEVS 302'
I want to see courses I need to take PHIL 510,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 510'
find all courses I need to take ECON 331,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ECON 331'
I need courses I need to take BIOL 527,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BIOL 527'
I need courses I need to take LLCU 244,SELECT prereq_codes FROM complete_courses WHERE course_code = 'LLCU 244'
get me courses I need to take POLS 312,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 312'
I need courses I need to take POLS 384,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 384'
show me courses I need to take ENGL 326,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENGL 326'
show me courses I need to take KNPE 455,SELECT prereq_codes FROM complete_courses WHERE course_code = 'KNPE 455'
show me courses I need to take FREN 237,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FREN 237'
what are the courses I need to take FILM 326,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FILM 326'
I want to see courses I need to take POLS 484,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 484'
what are the courses I need to take SOCY 309,SELECT prereq_codes FROM complete_courses WHERE course_code = 'SOCY 309'
what are the courses I need to take FRST 105,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FRST 105'
what are the courses I need to take ARTH 311,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ARTH 311'
get me courses I need to take SOCY 458,SELECT prereq_codes FROM complete_courses WHERE course_code = 'SOCY 458'
I want to see courses I need to take MUSC 334,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUSC 334'
show me courses I need to take GEOL 365,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOL 365'
I need courses I need to take MECH 479,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MECH 479'
show me courses I need to take INDG 308,SELECT prereq_codes FROM complete_courses WHERE course_code = 'INDG 308'
courses I need to take HIST 125,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 125'
show me courses I need to take MOHK 102,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MOHK 102'
which courses I need to take APSC 182,SELECT prereq_codes FROM complete_courses WHERE course_code = 'APSC 182'
show me courses I need to take HIST 486,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 486'
I want to see courses I need to take BIOL 243,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BIOL 243'
show me courses I need to take PHIL 405,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 405'
I need courses I need to take PHIL 318,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 318'
what are the courses I need to take APSC 400,SELECT prereq_codes FROM complete_courses WHERE course_code = 'APSC 400'
courses I need to take INDG 495,SELECT prereq_codes FROM complete_courses WHERE course_code = 'INDG 495'
courses I need to take GEOE 343,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOE 343'
what are the courses I need to take PHIL 303,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 303'
which courses I need to take SOCY 427,SELECT prereq_codes FROM complete_courses WHERE course_code = 'SOCY 427'
I want to see courses I need to take FREN 499,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FREN 499'
courses I need to take ENPH 242,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENPH 242'
what are the courses I need to take HIST 484,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 484'
courses I need to take CLST 421,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CLST 421'
get me courses I need to take CHEE 412,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CHEE 412'
find all courses I need to take CWRI 295,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CWRI 295'
find all courses I need to take GRMN 427,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GRMN 427'
I want to see courses I need to take GEOL 204,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOL 204'
find all courses I need to take CISC 500,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CISC 500'
courses I need to take FREN 360,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FREN 360'
I want to see courses I need to take MAPP 311,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MAPP 311'
find all courses I need to take HIST 202,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 202'
I want to see courses I need to take ECON 435,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ECON 435'
what are the courses I need to take POLS 360,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 360'
find all courses I need to take HIST 414,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 414'
what are the courses I need to take EMPR 334,SELECT prereq_codes FROM complete_courses WHERE course_code = 'EMPR 334'
which courses I need to take MECH 229,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MECH 229'
show me courses I need to take LISC 390,SELECT prereq_codes FROM complete_courses WHERE course_code = 'LISC 390'
get me courses I need to take ARTF 275,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ARTF 275'
I need courses I need to take PHIL 153,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 153'
find all courses I need to take PHYS 483,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHYS 483'
what are the courses I need to take SOCY 306,SELECT prereq_codes FROM complete_courses WHERE course_code = 'SOCY 306'
what are the courses I need to take MUSC 412,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUSC 412'
show me courses I need to take MUSC 399,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUSC 399'
which courses I need to take CIVL 472,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CIVL 472'
I want to see courses I need to take MUTH 329,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUTH 329'
find all courses I need to take CWRI 393,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CWRI 393'
courses I need to take PPEC 200,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PPEC 200'
which courses I need to take PHIL 445,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 445'
list all courses I need to take ENPH 453,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENPH 453'
I want to see courses I need to take POLS 397,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 397'
get me courses I need to take ELEC 433,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ELEC 433'
get me courses I need to take CISC 451,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CISC 451'
what are the courses I need to take PHIL 597,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 597'
find all courses I need to take CISC 325,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CISC 325'
I need courses I need to take HIST 307,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 307'
I want to see courses I need to take EMPR 110,SELECT prereq_codes FROM complete_courses WHERE course_code = 'EMPR 110'
what are the courses I need to take GEOL 452,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOL 452'
get me courses I need to take MUSC 471,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUSC 471'
what are the courses I need to take SOCY 424,SELECT prereq_codes FROM complete_courses WHERE course_code = 'SOCY 424'
courses I need to take RELS 321,SELECT prereq_codes FROM complete_courses WHERE course_code = 'RELS 321'
show me courses I need to take BLCK 320,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BLCK 320'
get me courses I need to take DRAM 482,SELECT prereq_codes FROM complete_courses WHERE course_code = 'DRAM 482'
get me courses I need to take MUSC 424,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUSC 424'
find all courses I need to take DRAM 211,SELECT prereq_codes FROM complete_courses WHERE course_code = 'DRAM 211'
I need courses I need to take GEOE 462,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOE 462'
what are the courses I need to take GRMN 308,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GRMN 308'
which courses I need to take GRMN 420,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GRMN 420'
what are the courses I need to take CISC 365,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CISC 365'
get me courses I need to take ARTH 490,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ARTH 490'
show me courses I need to take GEOE 466,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOE 466'
I need courses I need to take FILM 319,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FILM 319'
I want to see courses I need to take MICR 461,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MICR 461'
courses I need to take CISC 447,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CISC 447'
find all courses I need to take HIST 294,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 294'
which courses I need to take APSC 132,SELECT prereq_codes FROM complete_courses WHERE course_code = 'APSC 132'
I need courses I need to take MECH 396,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MECH 396'
I need courses I need to take ELEC 299,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ELEC 299'
what are the courses I need to take KNPE 330,SELECT prereq_codes FROM complete_courses WHERE course_code = 'KNPE 330'
I want to see courses I need to take FREN 498,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FREN 498'
I want to see courses I need to take CISC 282,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CISC 282'
what are the courses I need to take DEVS 292,SELECT prereq_codes FROM complete_courses WHERE course_code = 'DEVS 292'
show me courses I need to take MUTH 271,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUTH 271'
get me courses I need to take ARTH 597,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ARTH 597'
courses I need to take MOHK 201,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MOHK 201'
show me courses I need to take ARTH 433,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ARTH 433'
I want to see courses I need to take GEOE 341,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOE 341'
I need courses I need to take PHIL 404,SELECT prereq_codes FROM complete_courses WHERE course_code = 'PHIL 404'
find all courses I need to take GEOE 401,SELECT prereq_codes FROM complete_courses WHERE course_code = 'GEOE 401'
what are the courses I need to take POLS 327,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 327'
what are the courses I need to take CMPE 365,SELECT prereq_codes FROM complete_courses WHERE course_code = 'CMPE 365'
what are the courses I need to take LLCU 328,SELECT prereq_codes FROM complete_courses WHERE course_code = 'LLCU 328'
show me courses I need to take ECON 490,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ECON 490'
I want to see courses I need to take ARTH 435,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ARTH 435'
list all courses I need to take ECON 231,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ECON 231'
courses I need to take MNTC 414,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MNTC 414'
list all courses I need to take BCHM 596,SELECT prereq_codes FROM complete_courses WHERE course_code = 'BCHM 596'
list all courses I need to take POLS 112,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 112'
I want to see courses I need to take ENPH 481,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENPH 481'
list all courses I need to take MUTH 429,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUTH 429'
get me courses I need to take FILM 420,SELECT prereq_codes FROM complete_courses WHERE course_code = 'FILM 420'
show me courses I need to take HIST 310,SELECT prereq_codes FROM complete_courses WHERE course_code = 'HIST 310'
I need courses I need to take ENGL 326,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENGL 326'
I need courses I need to take MUSC 397,SELECT prereq_codes FROM complete_courses WHERE course_code = 'MUSC 397'
courses I need to take ECON 348,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ECON 348'
I want to see courses I need to take ENGL 387,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ENGL 387'
I need courses I need to take POLS 310,SELECT prereq_codes FROM complete_courses WHERE course_code = 'POLS 310'
I need courses I need to take ASCX 400,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ASCX 400'
I need courses I need to take APSC 101,SELECT prereq_codes FROM complete_courses WHERE course_code = 'APSC 101'
list all courses I need to take ARTF 595,SELECT prereq_codes FROM complete_courses WHERE course_code = 'ARTF 595'
